Region and province,2549,2550,2552,2554,2556,2558
Whole Kingdom,"14,311","14,500","16,205","17,403","19,061","21,157"
Greater Bangkok,"24,194","23,996","27,985","27,566","32,425","30,882"
Bangkok,"25,749","25,615","30,334","29,969","35,024","33,086"
Samut Prakan,"15,683","15,910","18,450","20,158","26,193","22,332"
Nonthaburi,"25,950","26,414","29,487","29,099","26,947","31,381"
Pathum Thani,"21,731","19,468","22,460","18,993","29,514","29,770"
Central Region,"15,373","15,168","17,106","16,954","19,728","21,055"
Phra Nakhon Si Ayutthaya,"15,859","16,757","20,717","17,534","20,494","22,218"
Ang Thong,"13,318","13,431","20,773","16,591","21,183","17,574"
Lop Buri,"15,870","14,462","16,764","14,875","15,945","17,969"
Sing Buri,"16,209","14,988","17,787","19,207","22,118","22,137"
Chai Nat,"13,358","12,841","14,272","17,392","17,767","17,163"
Saraburi,"17,063","15,467","17,378","19,377","22,765","23,017"
Chon Buri,"19,770","21,048","21,312","20,573","24,934","24,182"
Rayong,"17,215","18,165","18,559","18,546","21,873","24,434"
Chanthaburi,"17,279","16,449","17,290","18,861","17,597","23,351"
Trat,"13,296","13,463","13,365","17,051","16,706","18,989"
Chachoengsao ,"14,646","16,231","19,009","17,958","26,071","21,783"
Prachin Buri,"14,539","16,471","18,472","22,883","18,315","20,995"
Nakhon Nayok,"13,091","13,584","13,574","13,807","17,697","18,154"
Sa Kaeo,"8,342","9,975","12,396","15,130","18,571","20,577"
Ratchaburi,"16,961","14,786","16,951","13,847","17,253","15,084"
Kanchanaburi,"13,821","12,457","15,669","13,777","17,301","15,765"
Suphan Buri,"12,645","11,892","11,924","11,908","13,450","14,146"
Nakhon Pathom,"19,070","18,139","17,308","15,981","21,305","26,025"
Samut Sakhon,"14,197","14,076","18,074","18,164","18,565","22,877"
Samut Songkhram,"11,833","9,918","17,830","15,601","16,558","18,801"
Phetchaburi,"13,144","13,256","14,509","18,275","18,469","22,154"
Prachuap Khiri Khan,"16,477","15,977","15,782","17,236","22,393","21,268"
Northern Region,"11,185","10,990","12,051","13,668","14,066","15,268"
Chiang Mai,"12,606","12,480","14,234","15,607","11,704","11,864"
Lamphun,"12,791","12,789","16,476","16,605","20,381","20,550"
Lampang,"12,767","11,360","10,744","14,693","15,102","15,315"
Uttaradit,"12,974","11,217","10,275","13,433","13,550","15,815"
Phrae,"10,454","11,491","10,695","14,135","15,479","16,449"
Nan,"11,626","11,578","12,290","14,280","14,078","14,165"
Phayao,"9,815","10,495","10,399","12,348","11,245","13,783"
Chiang Rai,"10,484","10,702","10,337","12,726","11,068","12,075"
Mae Hong Son,"6,147","5,333","5,283","7,224","7,405","12,131"
Nakhon Sawan,"10,045","10,699","11,683","13,848","14,268","17,128"
Uthai Thani,"10,260","9,726","12,000","12,710","13,083","16,402"
Kamphaeng Phet,"13,196","12,461","13,423","13,540","16,360","17,371"
Tak,"9,568","8,874","9,615","10,261","13,149","15,176"
Sukhothai,"9,933","8,695","11,501","13,315","15,312","17,246"
Phitsanulok,"11,416","11,276","12,163","15,163","19,928","17,650"
Phichit,"10,840","10,160","14,798","14,623","14,791","16,854"
Phetchabun,"10,392","10,946","12,862","11,423","13,789","16,141"
Northeastern Region,"10,316","10,920","12,260","14,375","15,092","17,032"
Nakhon Ratchasima,"10,154","11,305","13,939","14,251","15,618","18,645"
Buri Ram,"8,632","8,537","10,427","13,629","14,343","16,087"
Surin,"12,028","12,116","12,038","14,401","18,584","18,537"
Si Sa Ket,"9,316","9,070","8,725","11,672","13,368","18,124"
Ubon Ratchathani,"9,255","10,399","11,343","16,030","13,587","13,848"
Yasothon,"8,914","9,209","10,101","12,842","12,549","14,453"
Chaiyaphum,"8,842","9,344","10,324","12,145","15,022","16,332"
Amnat Charoen,"10,361","10,224","12,772","14,862","14,162","17,029"
Bungkan,,,,,"20,283","23,697"
Nong Bua Lam Phu,"11,250","11,717","13,302","16,381","13,664","18,761"
Khon Kaen,"9,335","11,247","13,892","12,866","13,915","16,880"
Udon Thani,"12,257","14,759","17,307","19,086","21,439","22,535"
Loei,"12,187","12,341","11,181","15,155","14,916","16,232"
Nong Khai,"12,281","12,131","13,598","15,517","15,670","19,278"
Maha Sarakham,"10,579","11,605","12,692","16,636","15,506","14,654"
Roi Et,"10,053","10,638","12,176","15,476","15,348","17,756"
Kalasin,"10,232","10,099","9,186","13,028","12,445","12,747"
Sakon Nakhon,"11,006","10,916","12,623","12,337","13,021","14,549"
Nakhon Phanom,"10,256","9,652","10,868","12,049","11,447","13,973"
Mukdahan,"12,211","11,818","13,188","15,637","13,146","17,767"
Southern Region,"15,260","15,875","17,298","19,686","20,372","21,293"
Nakhon Si Thammarat,"14,918","14,990","18,763","20,756","19,364","19,829"
Krabi,"14,849","15,553","19,377","19,812","20,836","28,403"
Phangnga,"15,979","17,870","15,100","19,272","17,900","20,717"
Phuket,"19,492","19,329","23,783","21,255","25,338","27,435"
Surat Thani,"16,245","18,133","19,720","22,826","28,119","26,165"
Ranong,"15,101","16,358","16,218","23,602","22,587","18,617"
Chumphon,"14,044","15,074","16,452","20,567","22,552","24,542"
Songkhla,"18,111","18,668","18,929","20,612","21,670","23,617"
Satun,"11,737","14,716","18,043","18,954","22,715","19,591"
Trang,"18,370","19,149","17,085","22,687","20,922","19,795"
Phattalung,"18,124","15,750","17,613","18,112","16,636","17,143"
Pattani,"11,490","12,531","13,784","14,012","16,668","15,341"
Yala,"13,077","11,990","10,580","14,777","12,522","13,454"
Narathiwat,"8,201","9,711","10,486","13,901","13,728","13,717"
